,source,target,type
0,Russian Aircraft Corporation MiG,Soviet Union,operator
1,Atlantic Ocean,Phú Quốc,located on terrain feature
2,Côn Đảo,Phú Quốc,located on terrain feature
3,Phu Bai International Airport,Vietnam,country
4,Vietnamese đồng,Nguyễn dynasty,owned by
5,Hang Sơn Đoòng,Phong Nha-Kẻ Bàng National Park,location
6,South African Press Association,Lotus Cars,said to be the same as
7,Sea level,Mekong Delta,located in the administrative territorial entity
8,Côn Đảo,Phạm Văn Đồng,located in the administrative territorial entity
9,Mekong Delta,Middle East,has part
10,Tuy Phong District,Bình Thuận Province,located in the administrative territorial entity
11,Hà Giang Province,Vietnam,country
12,French colonial empire,French Algeria,follows
13,Mekong Delta,Ho Chi Minh City,contains administrative territorial entity
14,Ngọc Sơn (singer),Trần dynasty,sibling
15,Vietnam,Côn Đảo,country
16,Trang Airport,Thailand,contains administrative territorial entity
17,French Indochina,Da Lat,location
18,Da Nang,Nguyễn dynasty,country
19,Jayavarman II,Central Highlands (Vietnam),located on terrain feature
20,Vietnam,Mainland Southeast Asia,located on terrain feature
21,Côn Đảo,Côn Đảo Prison,followed by
22,Marble Mountains (Vietnam),Sơn Trà District,located on terrain feature
23,Montenegro,Nha Trang,residence
24,Vietnam,Mekong Delta,contains administrative territorial entity
25,Vietnam,Japan,has part
26,Bà Rịa,Ho Chi Minh City,located on terrain feature
27,Sơn Trà District,Ung County,located on terrain feature
28,Mekong Delta,Central Highlands (Vietnam),contains administrative territorial entity
29,Tràng An Scenic Landscape Complex,Trang Province,located in the administrative territorial entity
30,Dragon Bridge (Da Nang),Da Nang,crosses
31,Vietnam,"Temple of Literature, Hanoi",country
32,Da Lat,French Indochina,location
33,Southeast Asia,Vietnam,country
34,Nguyễn dynasty,French Indochina,country
35,Bau (island),Trang Province,said to be the same as
36,Ho Chi Minh,Ho Chi Minh Highway,crosses
37,Da Nang,Sơn Trà District,located in the administrative territorial entity
38,Ancient Greece,Vietnam,country of origin
39,Alaska,Côn Đảo,located in the administrative territorial entity
40,Hội An,Japan,language of work or name
41,Jayavarman II,Delta 4,has part
42,Vietnam,Mũi Né,country
43,Mount Fuji,Theres,part of
44,Thích Quảng Đức,Buddhism,religion
45,Sunday Herald,Herald Sun,publisher
46,Hà Giang Province,Hoàng Su Phì District,located in the administrative territorial entity
47,Singapore,Nepal,has part
48,Kiên Giang Province,Phú Quốc,located in the administrative territorial entity
49,Caribbean,Hạ Long Bay,located on terrain feature
50,Thailand,Trang Airport,contains administrative territorial entity
51,Atlantic Ocean,Côn Đảo,followed by
52,Vietnam,Southeast Asia,located on terrain feature
53,Nguyễn dynasty,Huế,location
54,Quan Cong,Gautama Buddha,location
55,Mekong Delta,Malaysia,location
56,Thailand,Vietnam,country
57,French colonial empire,France,part of
58,Vietnamese đồng,Atlantic Ocean,followed by
59,Nguyễn dynasty,Taoism,residence
60,Mongol Empire,Trần Hưng Đạo,military branch
61,Huế,Minh Mạng,work location
62,Vietnamese đồng,China,followed by
63,Philippines,Hạ Long Bay,located in the administrative territorial entity
64,Singapore,South Korea,part of
65,Đồng Hới,Da Nang,followed by
66,Alaska,Pacific Ocean,located on terrain feature
67,Ho Chi Minh City,Taoism,has part
68,Hải Vân Pass,Da Nang,located in the administrative territorial entity
69,Vietnam,Indonesia,has part
70,Dương Văn Minh,Nguyễn Khánh,father
71,Mũi Né,Mount Lao,located on terrain feature
72,Phong Nha-Kẻ Bàng National Park,Hang Sơn Đoòng,has part
73,Lai Châu Province,Sa Pa,contains administrative territorial entity
74,Shang dynasty,Mediterranean Sea,located in or next to body of water
75,Nguyễn dynasty,Hanoi,headquarters location
76,Japan,Hội An,crosses
77,Nguyễn dynasty,Ho Chi Minh,country of citizenship
78,Hạ Long Bay,Cát Bà Island,located on terrain feature
79,France,French Indochina,follows
80,Côn Đảo,Taoism,sibling
81,Mediterranean Sea,Mekong Delta,located in or next to body of water
82,Da Lat,French Quarter,location
83,France,Buddhism,part of
84,Shang dynasty,Champa,part of
85,Taoism,French Quarter,location
86,Thailand,Nepal,part of
87,Huế,Pagoda of the Celestial Lady,location
88,Côn Đảo,Taoism,part of
89,Nguyễn dynasty,"Ann, Myanmar",residence
90,Nha Trang,North Vietnam,country
91,Mũi Né,Phan Thiết,contains administrative territorial entity
92,Long Sơn Pagoda,Taoism,movement
93,Mekong Delta,Jayavarman II,has part
94,Da Nang,InterContinental Hotels Group,headquarters location
95,Thuận Phước Bridge,Vietnam,country
96,Mainland China,Atlantic Ocean,followed by
97,Village,Town,instance of
98,Ho Chi Minh,Hanoi,headquarters location
99,Ho Chi Minh City,Vũng Tàu,contains administrative territorial entity
100,Bình Thuận Province,Ninh Thuận Province,contains administrative territorial entity
101,Vietnam,BBC News,main subject
102,French colonial empire,French Indochina,follows
103,Ho Chi Minh City,Mekong Delta,has part
104,Côn Đảo Prison,Vietnam,country
105,Southeast Asia,South China Sea,located on terrain feature
106,Sea level,Mediterranean Sea,located in or next to body of water
107,Nui (atoll),Vietnamese đồng,part of
108,Bà Rịa,Vietnam,country
109,Nguyễn dynasty,Phạm Văn Đồng,residence
110,Da Nang,Dragon Bridge (Da Nang),location
111,Hạ Long Bay,Cát Bà Island,located in or next to body of water
112,Nguyễn dynasty,United States dollar,residence
113,Mekong Delta,Ho Chi Minh City,located in or next to body of water
114,Sa Pa,Fansipan,location
115,Hạ Long Bay,Philippines,has part
116,Hoàn Kiếm Lake,Vietnam,located on terrain feature
117,Vietnam,Middle East,country of origin
118,Karst Plateau,Dong Van Karst Plateau Geopark,instance of
119,Buddhism,Da Lat,part of
120,Hội An,Sun,located on terrain feature
121,Trang Airport,Vinh,located in the administrative territorial entity
122,Lào Cai,Vietnam,country
123,United States dollar,Côn Đảo,followed by
124,Dương Văn Minh,Ho Chi Minh Highway,crosses
125,Sơn Trà District,Vietnam,country of origin
126,Lai Châu Province,Điện Biên Province,located in the administrative territorial entity
127,Hanoi,Ho Chi Minh,headquarters location
128,Chàm Islands,Da Nang,located in the administrative territorial entity
129,Atlantic Ocean,Hawaiian Islands,located on terrain feature
130,Buddhism,Zen,religion
131,Nguyễn Hoàng,Da Lat,residence
132,Philippines,Tan Long,located on terrain feature
133,Da Nang,Mỹ Sơn,location
134,Nguyễn dynasty,South China Sea,located in or next to body of water
135,Mỹ Sơn,Southeast Asia,part of
136,Sea level,Mekong Delta,located on terrain feature
137,Bà Rịa,Vũng Tàu,located in the administrative territorial entity
138,Vietnamese đồng,Huế,location
139,BBC News,Mekong Delta,located in or next to body of water
140,Da Lat,French colonial empire,language of work or name
141,French colonial empire,Da Lat,language of work or name
142,Phan Thiết,Mũi Né,location
143,Điện Biên Province,Lai Châu Province,located in the administrative territorial entity
144,Middle East,Mekong Delta,located in or next to body of water
145,The Sun (United Kingdom),Sunday Herald,owned by
146,Champa,Shang dynasty,part of
147,Matthew Chau,Nature (journal),part of
148,Shang dynasty,Sơn Trà District,country of origin
149,Philippines,Hanoi,headquarters location
150,InterContinental Danang Sun Peninsula Resort,Da Nang,located in the administrative territorial entity
151,Trang Province,Bau (island),said to be the same as
152,Mekong Delta,Ho Chi Minh City,located on terrain feature
153,Phú Quốc,Phú Quốc National Park,located on terrain feature
154,Hàm Nghi,Ho Chi Minh trail,architect
155,Nha Trang,Trang Airport,located in the administrative territorial entity
156,Trần dynasty,Mongol Empire,military branch
157,Ho Chi Minh,Highway,crosses
158,French colonial empire,Da Nang,located in the administrative territorial entity
159,Mù Cang Chải District,Hà Giang Province,located in the administrative territorial entity
160,Trần dynasty,Ngọc Sơn (singer),sibling
161,Ho Chi Minh City,Cần Thơ,located in the administrative territorial entity
162,Gautama Buddha,Shang dynasty,part of
163,Falkland Islands,UNESCO,operator
164,Alaska,Mekong Delta,part of
165,Montenegro,North Vietnam,country
166,People's Liberation Army Navy,Hà Giang,part of
167,BBC News,Mekong Delta,has part
168,Cát Bà National Park,Caribbean,location
169,The Sun (United Kingdom),Herald Sun,publisher
170,Vietnam,Vietnamese đồng,country
171,Da Lat,Japan,crosses
172,Sơn Trà District,Hòa Vang District,contains administrative territorial entity
173,Nguyễn Khánh,Minh Mạng,spouse
174,Nha Trang,South Central Coast,located on terrain feature
175,Tây Hồ District,West Lake,located in or next to body of water
176,China,United States dollar,instance of
177,Vinh,Khánh Hòa Province,located in the administrative territorial entity
178,Alaska,Mekong Delta,located on terrain feature
179,Buddhism,Pagoda of the Celestial Lady,religion
180,Côn Đảo,Mekong Delta,located on terrain feature
181,Taoism,Trần dynasty,sibling
182,Lotus Cars,South African Press Association,said to be the same as
183,Minh Mạng,Nguyễn Khánh,spouse
184,Thái Nguyên,Thailand,contains administrative territorial entity
185,Nha Trang,Khánh Hòa Province,contains administrative territorial entity
186,French colonial empire,France,language of work or name
187,French Algeria,French colonial empire,followed by
188,Nguyễn dynasty,Da Nang,contains administrative territorial entity
189,Thích Quảng Đức,Pagoda of the Celestial Lady,residence
190,Caribbean,Cát Bà Island,location
191,Vietnam,Phong Nha,country
192,Taoism,Quan Cong,movement
193,Phạm Văn Đồng,United States dollar,instance of
194,Côn Đảo,Taoism,located in the administrative territorial entity
195,Taoism,"Van, Turkey",instance of
196,Bay Meadows Racetrack,Scottish Highlands,located on terrain feature
197,Middle East,Malaysia,main subject
198,Nguyễn dynasty,Hội An,country
199,Vietnamese đồng,United States dollar,followed by
200,Trang Province,Sandhills (Nebraska),contains administrative territorial entity
201,Vietnam,South China Sea,located in or next to body of water
202,Istanbul Tram,Vingroup,location
203,Nha Trang,China,located on terrain feature
204,"Ann, Myanmar",Vietnamese đồng,said to be the same as
205,France,Hỏa Lò Prison,operator
206,Ancient Greece,Japan,language of work or name
207,Côn Đảo,United States dollar,located in the administrative territorial entity
208,Nguyễn dynasty,Hanoi,contains administrative territorial entity
209,Vietnam,Nha Trang,country
210,Vietnam,Phú Quốc,country
211,Dragon Bridge (Da Nang),Da Nang,located in the administrative territorial entity
212,Twin Mountains,Sea level,located on terrain feature
213,Taoism,Mekong Delta,located on terrain feature
214,Vietnam,Instagram,country
215,South Korea,Thailand,part of
216,Côn Đảo,"Ann, Myanmar",located on terrain feature
217,Tibet,Chàm Islands,located on terrain feature
218,Scottish Highlands,BBC News,has part
219,Stow cum Quy,Town,instance of
220,Vietnam,Phong Nha Cave,country
221,Gautama Buddha,Vietnam,country
222,Huế,Perfume River,mouth of the watercourse
223,China,South Korea,has part
224,Vietnam,Mekong Delta,located in or next to body of water
225,United States dollar,Vietnamese đồng,instance of
226,Mekong Delta,Taoism,has part
227,"Ann, Myanmar",Côn Đảo,located on terrain feature
228,Zen,Buddhism,religion
229,Côn Đảo,Mainland China,followed by
230,South Vietnam,Buddhism,religion
231,Jayavarman II,Bay Meadows Racetrack,located in or next to body of water
232,Huế,Minh Mạng,residence
233,Taoism,"Ann, Myanmar",has part
234,Mainland China,Taoism,instance of
235,Fansipan,Sa Pa,location
236,French colonial empire,Ho Chi Minh trail,part of
237,Nguyễn dynasty,France,owned by
238,United States dollar,Atlantic Ocean,followed by
239,Laos,Lào Cai,contains administrative territorial entity
240,Johann Sebastian Bach,Sea level,mountain range
241,Hạ Long Bay,Sun,part of
242,BBC News,Bay Meadows Racetrack,located in or next to body of water
243,Mekong Delta,Sea level,located in or next to body of water
244,South China Sea,Vietnamese đồng,part of
245,Taoism,Mongol Empire,military branch
246,Ho Chi Minh City,Côn Đảo,located on terrain feature
247,"Gours, Gironde","Edam, Netherlands",location
248,Perfume River,Pagoda of the Celestial Lady,located on terrain feature
249,Phạm Văn Đồng,Da Nang,located in the administrative territorial entity
250,Côn Đảo,Bà Rịa,located on terrain feature
251,Cát Bà Island,Hạ Long Bay,located on terrain feature
252,United States dollar,Phạm Văn Đồng,located in the administrative territorial entity
253,Taoism,Phạm Văn Đồng,located in the administrative territorial entity
254,"Ann, Myanmar",Nguyễn dynasty,spouse
255,Hạ Long Bay,Sun,located on terrain feature
256,Âu Lạc,Australia,tributary
257,Sea level,Highway,crosses
258,Phạm Văn Đồng,"Ann, Myanmar",located in the administrative territorial entity
259,Phong Nha-Kẻ Bàng National Park,Vietnam,country
260,Vietnam,Vũng Tàu,contains administrative territorial entity
261,North Island,Phú Quốc,located on terrain feature
262,Ho Chi Minh City,Alaska,instance of
263,BBC News,Delta 4,has part
264,Vietnam,Phong Nha,country of origin
265,Trang Province,Tràng An Scenic Landscape Complex,contains administrative territorial entity
266,Côn Đảo,Taoism,followed by
267,Hoàn Kiếm Lake,Hoàn Kiếm District,located in or next to body of water
268,French Quarter,Da Lat,location
269,Mongol Empire,Taoism,military branch
270,Hội An,Da Nang,located in the administrative territorial entity
271,Da Nang,Mỹ Sơn,residence
272,Mekong Delta,Scottish Highlands,part of
273,Mekong Delta,Côn Đảo,located on terrain feature
274,Taoism,BBC News,has part
275,Japan,Nepal,has part
276,Phạm Văn Đồng,United States dollar,located in the administrative territorial entity
277,Sea level,Mediterranean Sea,located on terrain feature
278,South China Sea,Nguyễn dynasty,located in or next to body of water
279,Phú Quốc,Dương Đông,contains administrative territorial entity
280,Japan,Hội An,location
281,France,Vietnam,country
282,Nepal,Indonesia,has part
283,Sun,Ancient Greece,part of
284,United States dollar,Taoism,follows
285,Han River (Korea),Nguyễn Văn Linh,residence
286,South China Sea,Mũi Né,located in or next to body of water
287,Da Nang,Ngũ Hành Sơn District,located in the administrative territorial entity
288,InterContinental Hotels Group,Da Nang,location
289,Da Nang,Vietnamese đồng,located in the administrative territorial entity
290,Cúc Phương National Park,Hanoi,location
291,Hawaiian Islands,Côn Đảo,located on terrain feature
292,Nguyễn dynasty,Nguyễn Văn Linh,residence
293,Kalan Rural District,Po Nagar,location
294,Cần Thơ,Ho Chi Minh City,located in the administrative territorial entity
295,Da Nang,Ngũ Hành Sơn District,contains administrative territorial entity
296,Ngũ Hành Sơn District,Vietnam,country
297,French Indochina,France,follows
298,Ngọc Sơn (singer),Mongol Empire,location
299,Vietnam,Phong Nha-Kẻ Bàng National Park,contains administrative territorial entity
300,Mỹ Sơn,Da Nang,located in the administrative territorial entity
301,Ngũ Hành Sơn District,Vietnamese đồng,instance of
302,Hạ Long Bay,Vietnam,country
303,Hạ Long Bay,Theres,located in or next to body of water
304,Mekong Delta,Ho Chi Minh City,has part
305,Buddhism,France,participant
306,Dragon Bridge (Ljubljana),Vietnam,country
307,Vietnam,Gautama Buddha,country
308,Japan,Vietnam,has part
309,Nguyễn dynasty,Ancient Egypt,part of
310,Central Highlands (Vietnam),Bay Meadows Racetrack,located on terrain feature
311,Atlantic Ocean,United States dollar,instance of
312,United States dollar,Côn Đảo,part of
313,Trần dynasty,Zhou dynasty,position held
314,Hạ Long Bay,Cát Bà Island,residence
315,Vietnamese đồng,Phạm Văn Đồng,located in the administrative territorial entity
316,United States dollar,Taoism,has part
317,Vietnam,Thuận Phước Bridge,country
318,Cambodia,South Korea,has part
319,UNESCO,Hội An,part of
320,North Island,Phú Quốc National Park,part of
321,Hạ Long Bay,Hanoi,has part
322,Ho Chi Minh,Ho Chi Minh Mausoleum,occupant
323,Ho Chi Minh,Ho Chi Minh Mausoleum,location
324,Hạ Long Bay,Caribbean,located on terrain feature
325,Ho Chi Minh City,Bà Rịa,located on terrain feature
326,Da Lat,Buddhism,part of
327,Mỹ Sơn,Southeast Asia,located on terrain feature
328,Vĩnh Phúc Province,Trang Airport,located in the administrative territorial entity
329,"Edam, Netherlands",Vietnam,country
330,French Quarter,Taoism,location
331,Phong Nha Cave,Phong Nha-Kẻ Bàng National Park,location
332,France,French Quarter,location
333,Chàm Islands,Ecosystem,part of
334,Phạm Văn Đồng,Côn Đảo,located in the administrative territorial entity
335,Taoism,United States dollar,followed by
336,Jayavarman II,Mekong Delta,has part
337,Hoàn Kiếm Lake,"Temple of Literature, Hanoi",location
338,North Island,Pacific Ocean,located on terrain feature
339,Sơn Trà District,Hòa Vang District,located in the administrative territorial entity
340,Annamite Range,Da Nang,located on terrain feature
341,Vietnam,Shang dynasty,country
342,Trần Hưng Đạo,Ngọc Sơn (singer),residence
343,United States dollar,Taoism,sibling
344,French Quarter,France,location
345,Matthew Chau,Holy See,has part
346,Hạ Long Bay,Tip Top (ice cream),located in or next to body of water
347,Côn Đảo,Phan Thiết,located on terrain feature
348,Da Nang,Chàm Islands,located on terrain feature
349,French colonial empire,French Quarter,language of work or name
350,Hội An,Ancient Greece,located on terrain feature
351,Atlantic Ocean,China,located on terrain feature
352,Town,Stow cum Quy,instance of
353,Côn Đảo National Park,Côn Đảo,has part
354,Hạ Long Bay,Sun,location
355,Buddhism,Thích Quảng Đức,religion
356,Dragon Bridge (Da Nang),Hàn River Bridge,followed by
357,Thích Quảng Đức,South Vietnam,country of citizenship
358,Lai Châu Province,Điện Biên Province,contains administrative territorial entity
359,Mekong Delta,Middle East,located in or next to body of water
360,Mũi Né,Vietnamese đồng,located in the administrative territorial entity
361,Holy See,Matthew Chau,part of
362,Hà Giang,People's Liberation Army Navy,part of
363,Singapore,Thailand,part of
364,Sa Pa,Lai Châu Province,contains administrative territorial entity
365,Hanoi,Laos,country
366,Southeast Asia,Hà Giang Province,located in the administrative territorial entity
367,Pacific Ocean,North Island,located on terrain feature
368,United States dollar,Taoism,part of
369,Nature (journal),Matthew Chau,located on terrain feature
370,French colonial empire,Da Lat,located in the administrative territorial entity
371,Hoàn Kiếm Lake,Vietnam,country
372,Hạ Long Bay,Caribbean,located in or next to body of water
373,Tràng An Scenic Landscape Complex,Village,located in the administrative territorial entity
374,Vietnam,Da Lat,applies to jurisdiction
375,BBC News,Alaska,instance of
376,Taoism,Phạm Văn Đồng,contains administrative territorial entity
377,Hội An,Vietnam,country
378,Central Highlands (Vietnam),Vietnam,country
379,Côn Đảo,Pacific Ocean,located on terrain feature
380,Dương Đông,Phú Quốc,contains administrative territorial entity
381,Côn Đảo,Vietnamese đồng,located in the administrative territorial entity
382,Mekong Delta,BBC News,said to be the same as
383,Highway,Dương Văn Minh,located in the administrative territorial entity
384,Taoism,United States dollar,part of
385,Phạm Văn Đồng,Vietnamese đồng,located in the administrative territorial entity
386,Taoism,Côn Đảo,followed by
387,Trang Province,Bau (island),contains administrative territorial entity
388,Phú Quốc,Mediterranean Sea,located on terrain feature
389,Japan,Thailand,part of
390,Sunday Herald,Asia,part of
391,French colonial empire,Da Nang,country
392,United States dollar,Côn Đảo,follows
393,Vietnam,United States,has part
394,Fansipan,Mainland Southeast Asia,location
395,Cambodia,Japan,has part
396,Ho Chi Minh,Nguyễn dynasty,applies to jurisdiction
397,Phan Thiết,Nguyễn dynasty,residence
398,Theres,Hạ Long Bay,located in or next to body of water
399,South Vietnam,Pagoda of the Celestial Lady,country
400,Mekong Delta,Alaska,has part
401,Ho Chi Minh trail,French Indochina,participant
402,Dương Đông,Phú Quốc,located on terrain feature
403,Gautama Buddha,Champa,part of
404,Tu Long,Bai Tu Long Bay,tributary
405,Hoàng Su Phì District,Hà Giang Province,located in the administrative territorial entity
406,Indonesia,China,has part
407,Sơn Trà District,Hòa Vang District,located on terrain feature
408,Annamite Range,Da Nang,located in the administrative territorial entity
409,Minh Mạng,Dương Văn Minh,sibling
410,Southeast Asia,Vietnam,located on terrain feature
411,Bái Đính Temple,Vietnam,country
412,Hanoi,Nguyễn dynasty,country
413,Taoism,French colonial empire,language of work or name
414,Vietnam,Central Highlands (Vietnam),country
415,Da Nang,Huế,contains administrative territorial entity
416,Vietnam,Singapore,has part
417,Nha Trang,Mediterranean Sea,located in or next to body of water
418,Côn Đảo,Vietnamese đồng,sibling
419,Da Nang,Huế,located in the administrative territorial entity
420,Tây Hồ District,Vietnam,country
421,Vietnam,Bái Đính Temple,country
422,Nepal,Japan,has part
423,China,Côn Đảo,located in the administrative territorial entity
424,Mekong Delta,BBC News,has part
425,Taoism,Côn Đảo,has part
426,Bảo Đại,Da Lat,owned by
427,Delta 4,Mekong Delta,has part
428,French colonial empire,Hàm Nghi,father
429,Mainland China,Côn Đảo,followed by
430,Sun,Hạ Long Bay,location
431,Fansipan,Sa Pa,located in the administrative territorial entity
432,Vietnam,South Vietnam,contains administrative territorial entity
433,Nha Trang,Vinh,located in the administrative territorial entity
434,Bau (island),Trang Province,located in the administrative territorial entity
435,Ho Chi Minh City,Côn Đảo,has part
436,French Indochina,Nguyễn dynasty,country
437,United States dollar,Vietnamese đồng,follows
438,Vietnam,Air Mekong,subsidiary
439,Vietnam,Delta 4,contains administrative territorial entity
440,Town,Village,located in the administrative territorial entity
441,Mekong Delta,Vietnam,contains administrative territorial entity
